Jahr	Pestalozzi	Kannenfeld	Landskron	Lysbüchel	Friedmattviertel
2004	20.8	23.1	28.2	29.3	40.0
2005	20.4	22.5	28.1	27.0	39.9
2006	19.3	22.7	27.6	25.8	39.8
2007	19.8	24.0	27.3	26.6	38.5
2008	19.7	23.0	27.7	25.5	39.9
2009	18.4	22.3	27.5	23.5	38.7
2010	20.0	22.0	26.8	21.1	38.0
2011	19.2	21.1	26.2	22.6	37.0
2012	19.0	21.7	25.5	22.1	37.2
2013	18.9	22.5	24.6	22.7	38.2
2014	18.9	22.9	24.2	24.2	38.5
2015	18.8	22.9	23.4	25.0	38.8
2016	18.4	23.4	23.2	25.1	38.9
2017	18.2	23.5	22.6	26.3	39.7
2018	19.5	24.3	22.5	26.2	38.9
2019	19.4	25.0	21.7	29.7	38.8
2020	19.4	24.9	21.6	30.7	38.1
2021	19.7	25.1	21.5	29.6	39.1
2022	19.4	25.4	22.1	28.4	40.1
2023	19.3	23.4	21.8	31.6	40.9
