"Wohnviertel_ID"	"Wohnviertel_Name"	"Beschäftigte pro 100 Einwohner"	"Anzahl Beschäftigte"
1	Altstadt Grossbasel	584.73684211	14443.0000000
2	Vorstädte	569.9918897	28112.0000000
3	Am Ring	132.14621312	14063.0000000
4	Breite	17.506781193	1549.0000000
5	St. Alban	281.5840132	30718.0000000
6	Gundeldingen	74.888653234	14124.0000000
7	Bruderholz	19.845559846	1799.0000000
8	Bachletten	30.101024998	4082.0000000
9	Gotthelf	38.503142815	2634.0000000
10	Iselin	21.076422372	3497.0000000
11	St. Johann	111.9404572	21056.0000000
12	Altstadt Kleinbasel	217.90554415	5306.0000000
13	Clara	87.689252916	3533.0000000
14	Wettstein	215.98002497	12110.0000000
15	Hirzbrunnen	41.79253665	3763.0000000
16	Rosental	101.18256925	6246.0000000
17	Matthäus	24.412564927	3948.0000000
18	Klybeck	88.06482626	6412.0000000
19	Kleinhüningen	270	7830.0000000
20	Riehen	23.973357612	5003.0000000
30	Bettingen	43.604651163	525.0000000
